year,std_total,std_exp,smoke,stress,depress,drink,sex_frequency,contraception,pre_puberty,gini,single,abortion,obesity,private_edu,internet,exercise3_week,rainy,tropical,heat,temp_avg,temp_low,temp_high,cosmetic,consumer_price_index,basic_livelihood_security_recipient,teen_crime,culture_fac,welfare_fac,sports_fac,park,medical_fac,spam_email
2000,,,,,,,,79.3,,,,,,,44.7,,,,,,,,,66.572,,,,,,,,
2001,,,,,,,,,,,,,,,56.6,,,,,,,,,69.279,1419995,,,,,,,
2002,0.028,,,,,,,,,,,,,,59.4,,104.7,3.2,5.9,12.6,7.8,18.1,,71.193,1351185,,,,,,,
2003,0.021,,,,,,,84.5,,,,,,,65.5,,120.2,1.4,1.6,12.5,8,17.7,,73.695,1374405,,2.24,2.24,90.04,,,
2004,0.014,,,,,,,,,,,,,,70.2,,100.9,4.6,16,13.2,8.2,19,,76.341,1424088,,2.41,2.52,85.77,,,
2005,0.009,,,,,,,,,,8.6,,,,72.8,32.5,102.2,5.7,10.6,12.3,7.6,17.9,,78.444,1513352,,2.66,3.21,87.54,,,
2006,0.006,0.13,12.8,46.5,41.4,28.6,5.1,79.6,,,8.8,,5.9,,74.1,31.9,103.6,5.7,14.4,12.9,8.3,18.3,,80.202,1534950,,2.92,4.05,88.11,,,
2007,0.006,0.12,13.3,46.5,41.3,27.8,5.2,,,,8.9,,5.3,77,75.5,29.9,113.6,7,9.8,13.2,8.7,18.7,"4,356,287",82.235,1549848,,3.29,4.81,92.96,,2.1,0.9
2008,0.006,0.11,12.8,43.7,38.8,24.5,5.1,,,,9,,5.3,75.1,76.5,31.8,101.2,6.6,12.5,12.9,8.2,18.5,"5,104,830",86.079,1529939,18.03,3.51,6.54,102.16,10.3,2.23,0.23
2009,0.005,0.1,12.8,43.2,37.5,21.1,5.1,80,,,9.1,,5.1,75,77.2,31.6,105.5,2.9,4.2,13,8.2,18.6,"5,534,176",88.452,1568533,17.33,4.08,8.37,108.19,8.1,2.31,0.12
2010,0.005,0.09,12.1,43.8,37.4,21.1,5.3,,0.413820379,0.31,9.2,148,5.3,73.6,77.8,33,126.2,12.7,13.9,12.7,8.1,17.9,"6,308,350",91.051,1549820,13.9,3.92,10.74,110.16,8.4,2.36,0.93
2011,0.006,0.11,12.1,42,32.8,20.6,4.9,,0.692248686,0.311,9.3,143,5.6,71.7,78,34.1,113,6.4,7.5,12.4,7.8,17.7,"6,589,773",94.717,1469254,12.97,4.08,11.01,111.97,8.3,2.42,1.68
2012,0.006,0.13,11.4,41.9,30.5,19.4,4.3,77.1,0.858238026,0.307,9.9,129,6.2,69.4,78.4,33.6,116,10.2,15,12.3,7.8,17.6,"7,022,087",96.789,1394042,16.6,4.28,11.61,110.74,8.9,2.47,0.62
2013,0.006,0.11,9.7,41.4,30.9,16.3,5.3,,1.065779093,0.302,10.2,126,6.6,68.8,82.1,35.9,110.4,15.9,18.5,12.9,8.1,18.4,"7,631,515",98.048,1350891,14.56,4.64,12.42,109.74,8.6,2.57,0.23
2014,0.007,0.13,9.2,37,26.7,16.7,5.3,,1.204761339,0.302,10.5,95,6.9,68.6,83.6,37.2,111.9,3.3,7.4,13.1,8.4,18.6,"8,177,896",99.298,1328713,13.16,4.91,13.07,110.33,8.6,2.62,0.2
2015,0.013,0.26,7.8,35.4,23.6,16.7,5,79.6,1.328385827,0.295,10.8,83,7.5,68.8,85.1,37.9,112.8,4.9,10.1,13.4,8.7,18.8,"9,035,455",100,1646363,14.05,5.04,13.56,108.4,8.8,2.68,0.14
2016,0.018,0.39,6.3,37.4,25.5,15,4.6,,1.575468004,0.304,10.8,68,9.1,67.8,88.3,37.7,109.4,10.8,22.4,13.6,9,18.9,"9,545,681",100.97,1630614,13.93,5.14,14.15,112.81,9.2,2.74,0.38
2017,0.018,0.35,6.4,37.2,25.1,16.1,5.2,,1.800836094,,10.9,57,10,71.2,90.3,37.3,99.5,10.8,14.4,13.1,8.1,18.7,"9,255,372",102.93,1581646,13.72,5.31,14.4,113.72,9.6,2.82,0.21
2018,0.026,0.46,6.7,40.4,27.1,16.9,5.7,82.3,2.005124384,,10.9,45,10.8,72.8,91.5,37.8,97.6,17.7,31.5,13,8.2,18.6,"10,032,996",104.45,1743690,12.91,5.45,,,10.1,2.88,0.14
