year,consumer_price_index,basic_livelihood_security_recipient,teen_crime,culture_fac,welfare_fac,sports_fac,park,medical_fac,spam_email,,,,,,,,,,,,,,
2000,66.572,,,,,,,,,,,,,,,,,,,,,,
2001,69.279,1419995,,,,,,,,,,,,,,,,,,,,,
2002,71.193,1351185,,,,,,,,,,,,,,,,,,,,,
2003,73.695,1374405,,2.24,2.24,90.04,,,,,,,,,,,,,,,,,
2004,76.341,1424088,,2.41,2.52,85.77,,,,,,,,,,,,,,,,,
2005,78.444,1513352,,2.66,3.21,87.54,,,,,,,,,,,,,,,,,
2006,80.202,1534950,,2.92,4.05,88.11,,,,,,,,,,,,,,,,,
2007,82.235,1549848,,3.29,4.81,92.96,,2.1,0.9,,,,,,,,,,,,,,
2008,86.079,1529939,18.03,3.51,6.54,102.16,10.3,2.23,0.23,,,,,,,,,,,,,,
2009,88.452,1568533,17.33,4.08,8.37,108.19,8.1,2.31,0.12,,,,,,,,,,,,,,
2010,91.051,1549820,13.9,3.92,10.74,110.16,8.4,2.36,0.93,,,,,,,,,,,,,,
2011,94.717,1469254,12.97,4.08,11.01,111.97,8.3,2.42,1.68,,,,,,,,,,,,,,
2012,96.789,1394042,16.6,4.28,11.61,110.74,8.9,2.47,0.62,,,,,,,,,,,,,,
2013,98.048,1350891,14.56,4.64,12.42,109.74,8.6,2.57,0.23,,,,,,,,,,,,,,
2014,99.298,1328713,13.16,4.91,13.07,110.33,8.6,2.62,0.2,,,,,,,,,,,,,,
2015,100,1646363,14.05,5.04,13.56,108.4,8.8,2.68,0.14,,,,,,,,,,,,,,
2016,100.97,1630614,13.93,5.14,14.15,112.81,9.2,2.74,0.38,,,,,,,,,,,,,,
2017,102.93,1581646,13.72,5.31,14.4,113.72,9.6,2.82,0.21,,,,,,,,,,,,,,
2018,104.45,1743690,12.91,5.45,,,10.1,2.88,0.14,,,,,,,,,,,,,,
